Date,Price,21
1971.06,665.13,
1971.07,658.70,
1971.08,645.41,
1971.09,659.74,
1971.1,644.16,
1971.11,614.30,
1971.12,653.41,
1972.01,680.63,
1972.02,689.79,
1972.03,704.47,
1972.04,709.95,
1972.05,701.09,
1972.06,701.35,
1972.07,692.84,
1972.08,715.69,
1972.09,703.70,
1972.1,701.65,
1972.11,735.12,
1972.12,748.68,
1973.01,752.65,
1973.02,720.87,
1973.03,702.96,
1973.04,685.08,
1973.05,661.27,
1973.06,642.08,
1973.07,646.74,
1973.08,623.26,
1973.09,632.67,
1973.1,652.06,
1973.11,601.78,
1973.12,555.55,
1974.01,558.51,
1974.02,536.15,
1974.03,552.03,
1974.04,521.63,
1974.05,499.64,
1974.06,496.23,
1974.07,434.76,
1974.08,411.78,
1974.09,364.56,
1974.1,367.99,
1974.11,377.23,
1974.12,349.95,
1975.01,377.15,
1975.02,413.16,
1975.03,430.51,
1975.04,433.69,
1975.05,458.63,
1975.06,466.83,
1975.07,462.11,
1975.08,427.45,
1975.09,419.94,
1975.1,436.88,
1975.11,441.07,
1975.12,432.79,
1976.01,471.76,
1976.02,488.22,
1976.03,489.77,
1976.04,491.88,
1976.05,485.04,
1976.06,485.34,
1976.07,494.18,
1976.08,487.35,
1976.09,496.00,
1976.1,476.59,
1976.11,472.50,
1976.12,487.16,
1977.01,480.50,
1977.02,462.79,
1977.03,457.86,
1977.04,447.05,
1977.05,443.52,
1977.06,442.96,
1977.07,444.82,
1977.08,432.53,
1977.09,424.42,
1977.1,412.09,
1977.11,412.46,
1977.12,409.12,
1978.01,391.04,
1978.02,383.08,
1978.03,379.38,
1978.04,392.89,
1978.05,408.97,
1978.06,405.62,
1978.07,400.60,
1978.08,426.31,
1978.09,423.10,
1978.1,406.00,
1978.11,380.53,
1978.12,384.44,
1979.01,395.34,
1979.02,384.96,
1979.03,388.35,
1979.04,391.63,
1979.05,377.72,
1979.06,380.92,
1979.07,380.45,
1979.08,394.09,
1979.09,394.22,
1979.1,376.31,
1979.11,369.99,
1979.12,380.60,
1980.01,386.01,
1980.02,395.73,
1980.03,353.97,
1980.04,344.35,
1980.05,356.54,
1980.06,375.26,
1980.07,392.28,
1980.08,401.49,
1980.09,407.81,
1980.1,415.78,
1980.11,429.80,
1980.12,418.91,
1981.01,413.98,
1981.02,395.57,
1981.03,407.58,
1981.04,408.48,
1981.05,397.15,
1981.06,395.44,
1981.07,381.66,
1981.08,380.24,
1981.09,343.73,
1981.1,347.34,
1981.11,355.19,
1981.12,356.65,
1982.01,336.85,
1982.02,327.77,
1982.03,317.51,
1982.04,331.87,
1982.05,329.03,
1982.06,306.26,
1982.07,303.85,
1982.08,304.06,
1982.09,338.57,
1982.1,365.94,
1982.11,381.61,
1982.12,386.78,
1983.01,399.56,
1983.02,406.06,
1983.03,420.17,
1983.04,433.12,
1983.05,447.97,
1983.06,452.88,
1983.07,452.69,
1983.08,438.90,
1983.09,449.63,
1983.1,449.64,
1983.11,442.06,
1983.12,439.48,
1984.01,442.21,
1984.02,415.99,
1984.03,415.44,
1984.04,413.95,
1984.05,410.13,
